ID;Nombre completo;Fecha de nacimiento;Dirección;Localidad y CP;Teléfono;Correo electrónico;Fecha de alta;Grupo de clientes
C0001;Leandra Anna Malo Alba;8/12/1984;7943 S. Fifth Street;Bergenfield, NJ 07621;(598) 451-5865;uraeus@mac.com;19/1/2012 14:32;A
C0002;Severo Granados Iglesia;12/8/1986;77 Lyme Street;Hermitage, TN 37076;(869) 771-1487;bhima@me.com;22/3/2005 15:42;E
C0003;Lucho Andreu Amat;16/4/1990;9448 Fairfield St.;Aberdeen, SD 57401;(246) 245-7306;psichel@sbcglobal.net;15/9/2007 03:01;E
C0004;Matías Mauricio Castillo ;2/12/1996;8143 College St.;Trussville, AL 35173;(707) 933-2513;tbeck@optonline.net;7/12/2011 15:22;E
C0005;Mauricio Guijarro Castelló;14/5/1984;9893 W. Vale Ave.;Billings, MT 59101;(612) 325-0216;eegsa@yahoo.ca;28/6/2008 06:58;D
C0006;Isaura Leyre Avilés Pelayo;18/4/1987;8094 Albany Drive;Poughkeepsie, NY 12601;(992) 564-5230;barlow@verizon.net;26/4/2008 20:18;E
C0007;Soraya Morera-Lago;27/11/1990;9001 Creek Street;Lawrence, MA 01841;(651) 544-1246;wkrebs@me.com;8/10/2019 16:04;A
C0008;Victoriano Tapia-Cabanillas;6/3/1981;57 Green Drive;Fair Lawn, NJ 07410;(851) 782-6044;dleconte@outlook.com;16/8/2009 08:37;C
C0009;Nidia Saez Campoy;28/4/1980;86 Surrey St.;Kennewick, WA 99337;(265) 609-6654;flakeg@verizon.net;5/1/2013 21:49;B
C0010;Teófila Villanueva Molina;4/1/1987;8728 Boston Street;Rego Park, NY 11374;(305) 491-4988;slaff@icloud.com;29/12/2007 03:29;E
C0011;Trini de Alberdi;4/12/1990;45 Heritage Ave.;Fall River, MA 02720;(561) 649-7485;uncle@hotmail.com;27/8/2013 18:19;B
C0012;Dani Baena;20/10/1977;9334 Hillside Street;Grand Blanc, MI 48439;(966) 735-9451;vsprintf@hotmail.com;24/2/2012 00:45;C
C0013;Angelina de Arregui;21/2/2000;611 Academy Street;Dalton, GA 30721;(711) 282-2848;chinthaka@yahoo.ca;24/12/2014 11:02;D
C0014;Samuel de Carranza;16/5/1999;7201 Mill Street;Marcus Hook, PA 19061;(337) 397-0627;ntegrity@optonline.net;29/10/2016 06:44;C
C0015;Jacinta Montenegro Garcés;13/3/1994;59 Ridgewood Ave.;Reynoldsburg, OH 43068;(969) 383-4277;yangyan@yahoo.ca;6/4/2007 06:15;D
C0016;Lisandro Delgado Nadal;18/4/1980;270 West Green Lake St.;Louisville, KY 40207;(748) 495-1748;ilyaz@me.com;10/11/2019 01:09;B
C0017;Samanta Manjón Godoy;3/3/1980;9481 S. Chestnut St.;Morristown, NJ 07960;(494) 813-5651;njpayne@hotmail.com;18/1/2017 14:05;C
C0018;Albano Teodosio Cañete Rosa;4/4/1981;7 N. Annadale Street;Eugene, OR 97402;(779) 217-3175;ralamosm@gmail.com;12/5/2010 03:57;C
C0019;Abel Villanueva;12/6/1988;88 Pheasant Rd.;Bridgeton, NJ 08302;(904) 204-2255;bartak@sbcglobal.net;24/2/2012 07:39;A
C0020;Bienvenida Pulido Cózar;21/1/1994;8 Galvin Street;Seymour, IN 47274;(932) 307-3409;improv@me.com;16/5/2016 09:09;D
C0021;Patricio Manzano Pomares;1/7/1979;9 Marconi Road;Eastpointe, MI 48021;(993) 960-7653;arnold@live.com;16/2/2018 13:16;D
C0022;Modesto de Casares;13/12/1975;8842 Old Van Dyke Ave.;Nanuet, NY 10954;(611) 927-0572;ismail@comcast.net;26/2/2019 09:13;D
C0023;Berto del Morales;30/10/1987;471 S. Cambridge Drive;Fairborn, OH 45324;(283) 384-7846;wilsonpm@aol.com;19/2/2005 02:21;A
C0024;Nuria Daniela Jáuregui Tejero;2/7/1979;9 Military Dr.;Yuba City, CA 95993;(677) 875-1069;barjam@icloud.com;2/4/2014 18:30;E
C0025;Anastasia Pedrero Solera;29/8/1986;8388 Pheasant Street;Powder Springs, GA 30127;(886) 929-9282;michiel@msn.com;7/9/2012 03:07;B
C0026;Purificación Salomé Ferrán Valero;29/9/1984;221 Dogwood Dr.;El Paso, TX 79930;(596) 660-5408;gamma@hotmail.com;2/7/2010 15:05;A
C0027;Melania Cobos Lozano;15/4/1989;911 Charles St.;East Lansing, MI 48823;(768) 242-5793;dhrakar@live.com;8/5/2019 12:01;C
